Genus	species	Locality	Field/Identity number	locality_detail	sex	b.mass g
Speyeria	callippe	San Bruno Mountain	SCC-4	E Side by Hwy 101	F	0.302
Speyeria	callippe	San Bruno Mountain	SCC-5	E Side by Hwy 101	F	0.274
Speyeria	callippe	San Bruno Mountain	SCC-8	E Side by Hwy 101	F	0.223
Speyeria	callippe	San Bruno Mountain	SCC-1	E.side by hwy 101	F	
Speyeria	callippe	San Bruno Mountain	SCC-2	E.side by hwy 101	F	NA
Speyeria	callippe	San Bruno Mountain	SCC-3	"NE Ridge nr. Brisbane, off Guadalupe Parkway Fireroad"	F	NA
Speyeria	callippe	San Bruno Mountain	SCC-13	"NE Ridge nr. Brisbane, off Guadalupe Parkway Fireroad"	F	NA
Speyeria	callippe	San Bruno Mountain	SCC-14	"NE Ridge nr. Brisbane, off Guadalupe Parkway Fireroad"	F	0.323
Speyeria	callippe	San Bruno Mountain	SCC-16	"NE Ridge nr. Brisbane, off Guadalupe Parkway Fireroad"	F	NA
Speyeria	callippe	San Bruno Mountain	SCC-17	"NE Ridge nr. Brisbane, off Guadalupe Parkway Fireroad"	F	NA
Speyeria	callippe	San Bruno Mountain	SCC-19	"NE Ridge nr. Brisbane, off Guadalupe Parkway Fireroad"	F	0.245
Speyeria	callippe	San Bruno Mountain	SCC-21	"NE Ridge nr. Brisbane, off Guadalupe Parkway Fireroad"	F	0.236
Speyeria	callippe	San Bruno Mountain	SCC-22	"NE Ridge nr. Brisbane, off Guadalupe Parkway Fireroad"	F	0.28
Speyeria	callippe	San Bruno Mountain	SCC-23	"NE Ridge nr. Brisbane, off Guadalupe Parkway Fireroad"	F	0.316
Speyeria	callippe	San Bruno Mountain	SCC-27	Utility Rd. above Owl Canyon	F	0.316
Speyeria	callippe	San Bruno Mountain	SCC-37	Utility Rd. above Owl Canyon	F	0.311
Speyeria	callippe	San Bruno Mountain	SCC-6	E Side by Hwy 101	M	NA
Speyeria	callippe	San Bruno Mountain	SCC-7	E Side by Hwy 101	M	0.198
Speyeria	callippe	San Bruno Mountain	SCC-9	E Side by Hwy 101	M	0.181
Speyeria	callippe	San Bruno Mountain	SCC-10	E Side by Hwy 101	M	NA
Speyeria	callippe	San Bruno Mountain	SCC-11	E Side by Hwy 101	M	NA
Speyeria	callippe	San Bruno Mountain	SCC-12	E Side by Hwy 101	M	NA
Speyeria	callippe	San Bruno Mountain	SCC-15	"NE Ridge nr. Brisbane, off Guadalupe Parkway Fireroad"	M	0.148
Speyeria	callippe	San Bruno Mountain	SCC-18	"NE Ridge nr. Brisbane, off Guadalupe Parkway Fireroad"	M	0.196
Speyeria	callippe	San Bruno Mountain	SCC-20	"NE Ridge nr. Brisbane, off Guadalupe Parkway Fireroad"	M	0.162
Speyeria	callippe	San Bruno Mountain	SCC-24	Utility Rd. above Owl Canyon	M	0.182
Speyeria	callippe	San Bruno Mountain	SCC-25	Utility Rd. above Owl Canyon	M	0.176
Speyeria	callippe	San Bruno Mountain	SCC-26	Utility Rd. above Owl Canyon	M	0.208
Speyeria	callippe	San Bruno Mountain	SCC-28	Utility Rd. above Owl Canyon	M	0.212
Speyeria	callippe	San Bruno Mountain	SCC-29	Utility Rd. above Owl Canyon	M	0.203
Speyeria	callippe	San Bruno Mountain	SCC-30	Utility Rd. above Owl Canyon	M	0.161
Speyeria	callippe	San Bruno Mountain	SCC-31	Utility Rd. above Owl Canyon	M	0.242
Speyeria	callippe	San Bruno Mountain	SCC-32	Utility Rd. above Owl Canyon	M	0.194
Speyeria	callippe	San Bruno Mountain	SCC-33	Utility Rd. above Owl Canyon	M	0.165
Speyeria	callippe	San Bruno Mountain	SCC-34	Utility Rd. above Owl Canyon	M	0.202
Speyeria	callippe	San Bruno Mountain	SCC-35	Utility Rd. above Owl Canyon	M	0.194
Speyeria	callippe	San Bruno Mountain	SCC-36	Utility Rd. above Owl Canyon	M	0.173
